file,score,high_confidence,categories,hits,line_count,bytes,source_path,raw_copy
260425_LLMマインドマップトポロジ.md,8981,yes,scope-alias|mutation|validation|ssot|llm-transport|attrs|schema|storage|ui-state,Scope:249; scope:249; Alias:214; alias:214; Command:160; 正本:79; 検証:64; TOON:53; Undo:43; 整合:43; 属性:39; SQLite:34; ViewState:32; Validate:27; Redo:25; Model.apply:20; schema:20; コンテクスト:19; 循環:19; PersistedDocument:15; Repair:15; migration:12; スキーマ:12; 圧縮:12; Command Patch:11; 可変属性:11; SavedDoc:9; nodeAttrs:9; linkAttrs:7; nodes[:7; folder world:5; links[:5; データモデル:5; JSON正本:4; M3E.TOON:4; edgeAttrs:3; 通信:3; M3E.Command:2; edges[:2; metadata:2; コンテキスト:2; データ構造:2; 正本はJSON:2; Command Patch JSON:1; M3E.Context:1; Topology JSON:1; メタデータ:1; 論理正本:1,6916,235888,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260425_LLMマインドマップトポロジ.md,raw_conversations/260425_LLMマインドマップトポロジ.md
260417_重要Resource管理のアプローチ.md,7511,yes,scope-alias|mutation|validation|ssot|schema|ui-state|packed-core|llm-transport|attrs|storage,Scope:480; scope:480; Alias:408; alias:408; 正本:150; 整合:118; Command:103; ViewState:75; Undo:74; 極性:74; 検証:65; 属性:52; Redo:42; schema:41; コンテクスト:36; SQLite:29; PersistedDocument:22; migration:22; スキーマ:21; SavedDoc:18; 循環:17; 圧縮:15; データモデル:13; folder world:10; 通信:9; Model.apply:7; Validate:6; データ構造:5; metadata:4; コンテキスト:4; メタデータ:4; 論理正本:2,12387,528610,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260417_重要Resource管理のアプローチ.md,raw_conversations/260417_重要Resource管理のアプローチ.md
260410_TCLの意味.md,7340,yes,scope-alias|mutation|validation|ui-state|ssot|attrs|schema|llm-transport|storage,Scope:577; scope:577; Alias:471; alias:471; Command:214; ViewState:122; 整合:101; Undo:98; 検証:75; 正本:74; Redo:70; 属性:56; metadata:46; schema:40; コンテクスト:34; SQLite:28; 循環:26; PersistedDocument:22; migration:22; SavedDoc:20; スキーマ:20; データモデル:12; メタデータ:12; Model.apply:10; folder world:10; 圧縮:10; Validate:8; コンテキスト:6; データ構造:6; 論理正本:2; 通信:2,16560,556702,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260410_TCLの意味.md,raw_conversations/260410_TCLの意味.md
260420_戦略立案の改善.md,6812,yes,scope-alias|mutation|validation|ssot|schema|ui-state|storage|attrs|llm-transport,Scope:425; scope:425; Alias:300; alias:300; Command:101; Undo:71; 整合:71; ViewState:61; 正本:61; 検証:60; 属性:46; Redo:45; schema:34; コンテクスト:33; SQLite:31; PersistedDocument:23; スキーマ:23; migration:22; SavedDoc:18; 循環:16; 圧縮:11; folder world:9; データ構造:9; データモデル:7; Model.apply:6; Validate:6; コンテキスト:4; metadata:3; メタデータ:2; 論理正本:2; 通信:2,10709,416705,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260420_戦略立案の改善.md,raw_conversations/260420_戦略立案の改善.md
260425_MIOSMindmap_IO_Stack.md,6792,yes,scope-alias|mutation|validation|llm-transport|ssot|schema|ui-state|storage|attrs,Scope:241; scope:241; Alias:198; alias:198; Command:82; 整合:41; 検証:39; Undo:35; 正本:34; ViewState:32; TOON:28; 属性:23; Redo:21; schema:20; MIOS:19; コンテクスト:18; SQLite:17; Validate:17; PersistedDocument:13; migration:11; スキーマ:10; Repair:9; SavedDoc:9; 循環:9; 圧縮:8; Model.apply:6; folder world:5; Mindmap I/O:4; コンテキスト:4; データモデル:4; JSON正本:3; metadata:2; データ構造:2; メタデータ:1; 論理正本:1; 通信:1,5676,196049,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260425_MIOSMindmap_IO_Stack.md,raw_conversations/260425_MIOSMindmap_IO_Stack.md
260419_Cloud_Code_Agent_SDK.md,6718,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:437; scope:437; Alias:390; alias:390; Command:105; Undo:73; 整合:73; ViewState:65; 検証:54; 正本:49; 属性:46; Redo:43; schema:40; コンテクスト:36; SQLite:28; migration:23; PersistedDocument:22; スキーマ:21; SavedDoc:18; 循環:16; 圧縮:12; folder world:10; データモデル:8; Model.apply:6; Validate:6; コンテキスト:6; metadata:4; データ構造:4; メタデータ:2; 論理正本:2; 通信:2,10998,369115,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260419_Cloud_Code_Agent_SDK.md,raw_conversations/260419_Cloud_Code_Agent_SDK.md
260410_Structural_Reasoning_Stack.md,6709,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:442; scope:442; Alias:396; alias:396; Command:98; 整合:81; 検証:72; Undo:69; ViewState:64; 正本:53; 属性:46; Redo:43; schema:40; コンテクスト:37; SQLite:28; PersistedDocument:22; migration:22; スキーマ:20; SavedDoc:18; 循環:17; 圧縮:13; folder world:10; データモデル:8; Model.apply:6; Validate:6; metadata:4; コンテキスト:4; データ構造:4; 通信:4; メタデータ:2; 論理正本:2,11642,407799,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260410_Structural_Reasoning_Stack.md,raw_conversations/260410_Structural_Reasoning_Stack.md
260420_ネットワーク同期とセキュリティ.md,6698,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:436; scope:436; Alias:392; alias:392; Command:98; 整合:73; Undo:68; ViewState:64; 検証:53; 正本:51; 属性:46; Redo:42; schema:40; コンテクスト:40; SQLite:29; PersistedDocument:22; migration:22; スキーマ:20; SavedDoc:18; 循環:16; 圧縮:12; folder world:10; データモデル:8; Model.apply:6; Validate:6; コンテキスト:5; metadata:4; データ構造:4; メタデータ:2; 論理正本:2; 通信:2,11743,420805,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260420_ネットワーク同期とセキュリティ.md,raw_conversations/260420_ネットワーク同期とセキュリティ.md
260406_AI_orchestration_in_M3E.md,6682,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:436; scope:436; Alias:390; alias:390; Command:103; 整合:77; Undo:69; ViewState:65; 検証:54; 正本:52; 属性:48; Redo:43; schema:40; コンテクスト:38; SQLite:28; PersistedDocument:22; migration:22; スキーマ:20; SavedDoc:18; 循環:16; 圧縮:12; folder world:10; データモデル:8; Validate:7; Model.apply:6; metadata:4; コンテキスト:4; データ構造:4; メタデータ:2; 論理正本:2; 通信:2,10946,389182,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260406_AI_orchestration_in_M3E.md,raw_conversations/260406_AI_orchestration_in_M3E.md
260417_LLMの抽象度評価.md,6679,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:436; scope:436; Alias:391; alias:391; Command:98; 整合:83; Undo:68; ViewState:64; 検証:53; 正本:48; 属性:46; Redo:42; schema:40; コンテクスト:36; SQLite:28; PersistedDocument:22; migration:22; スキーマ:20; SavedDoc:18; 循環:17; 圧縮:12; folder world:10; データモデル:8; Model.apply:6; Validate:6; metadata:4; コンテキスト:4; データ構造:4; メタデータ:2; 論理正本:2; 通信:2,10744,368316,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260417_LLMの抽象度評価.md,raw_conversations/260417_LLMの抽象度評価.md
